,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,track_name,artist(s)_name
360,0.6028368794326241,0.6986301369863015,0.913978494623656,0.674698795180723,0.021505376344086023,0.0,0.03636363636363637,0.06451612903225806,INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X"
361,0.8581560283687942,0.24657534246575347,0.05376344086021506,0.5662650602409639,0.021505376344086023,0.0,0.16363636363636364,0.04838709677419355,MIDDLE OF THE NIGHT,Elley Duhï¿
362,0.7163120567375886,0.2328767123287671,0.20430107526881724,0.40963855421686757,0.05376344086021506,0.0,0.16363636363636364,0.016129032258064516,Atlantis,Seafret
363,0.15602836879432624,0.8767123287671232,0.5161290322580646,0.45783132530120485,0.33333333333333337,0.0,0.4545454545454545,0.3548387096774194,Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR"
364,0.12056737588652477,0.2328767123287671,0.3763440860215054,0.6024096385542169,0.22580645161290325,0.0,0.07272727272727272,0.08064516129032258,How Do I Say Goodbye,Dean Lewis
365,0.34751773049645385,0.3150684931506849,0.6021505376344087,0.16867469879518074,0.9784946236559141,0.0,0.3272727272727272,0.03225806451612903,Blind,SZA
366,0.5886524822695035,0.32876712328767116,0.11827956989247314,0.45783132530120485,0.40860215053763443,0.14285714285714288,0.47272727272727266,0.04838709677419355,Die For You,Joji
367,0.5319148936170213,0.9315068493150684,1.0000000000000002,0.5180722891566265,0.40860215053763443,0.0,0.6727272727272727,0.4354838709677419,Doja,Central Cee
368,0.25531914893617025,0.9178082191780823,0.7741935483870969,0.8072289156626506,0.16129032258064518,0.26373626373626374,0.5454545454545454,0.06451612903225806,Gatita,Bellakath
369,0.5319148936170213,0.7945205479452055,0.021505376344086016,0.8433734939759038,0.05376344086021506,0.2527472527472528,0.05454545454545454,0.06451612903225806,Rumble,"Skrillex, Flowdan, Fred again.."
370,0.16312056737588654,0.35616438356164387,0.2150537634408602,0.6265060240963856,0.20430107526881722,0.0,0.2727272727272727,0.4354838709677419,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin"
371,0.8156028368794327,0.5616438356164384,0.43010752688172044,0.6144578313253013,0.3010752688172043,0.0,0.19999999999999998,0.16129032258064516,Yonaguni,Bad Bunny
372,0.4822695035460993,0.9863013698630136,0.9354838709677421,0.9036144578313253,0.06451612903225806,0.0,0.509090909090909,0.3548387096774194,Super Freaky Girl,Nicki Minaj
