tracks
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve (Taylor Swift)
Titi Me Preguntï¿ (Bad Bunny)
Better Than Revenge (Taylor's Version) (Taylor Swift)
Shut up My Moms Calling (Hotel Ugly)
Es un Secreto (Plan B)
"POLARIS - Remix (Feid, Mora, Saiko, Quevedo)"
Ditto (NewJeans)
Take On Me (a-ha)
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset) (Swae Lee, Lil Wayne, Offset, Metro Boomin)"
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long) (Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin)"
Acrï¿½ï¿½s (Shakira)
"AMG (Natanael Cano, Gabito Ballesteros, Peso Pluma)"
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"") (Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya)"
S-Class (Stray Kids)
Hits Different (Taylor Swift)
"Chanel (Becky G, Peso Pluma)"
"Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray) (Metro Boomin, Coi Leray)"
"Area Codes (Kaliii, Kaliii)"
"Abcdario (Junior H, Eden Muï¿½ï)"
"Obsessed (Abhijay Sharma, Riar Saab)"
"Piï¿½ï¿½man Deï¿ (Semicenk, Doï¿½ï¿½u )"
FLOWER (JISOO)
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert) (Future, Lil Uzi Vert, Metro Boomin)"
Eyes Closed (Ed Sheeran)
"Escapism. (RAYE, 070 Shake)"
"La Jumpa (Arcangel, Bad Bunny)"
"Karma (feat. Ice Spice) (Taylor Swift, Ice Spice)"
"Superhero (Heroes & Villains) [with Future & Chris Brown] (Future, Chris Brown, Metro Boomin)"
"Las Morras (BLESSD, Peso Pluma)"
CHORRITO PA LAS ANIMAS (Feid)
"Ch y la Pizza (Fuerza Regida, Natanael Cano)"
"Snow On The Beach (feat. More Lana Del Rey) (Lana Del Rey, Taylor Swift)"
Players (Coi Leray)
Bite Me (ENHYPEN)
"Stand By Me (feat. Morgan Wallen) (Lil Durk, Morgan Wallen)"
Normal (Feid)
"Hummingbird (Metro Boomin & James Blake) (James Blake, Metro Boomin)"
Bad Habit (Steve Lacy)
CUFF IT (Beyoncï¿)
"Lilith (feat. SUGA of BTS) (Diablo IV Anthem) (Halsey, Suga)"
"69 (Nicky Jam, Feid)"
"Niï¿½ï¿½a Bo (Sean Paul, Feid)"
Search & Rescue (Drake)
"AMERICA HAS A PROBLEM (feat. Kendrick Lamar) (Kendrick Lamar, Beyoncï¿)"
Lavender Haze (Taylor Swift)
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse ) (WizKid, Toian, Metro Boomin, Don Toliver, Beam)"
Efecto (Bad Bunny)
Cupido (Tini)
Just Wanna Rock (Lil Uzi Vert)
Unstoppable (Sia)
Until I Found You (Stephen Sanchez)
"Rich Flex (Drake, 21 Savage)"
Easy On Me (Adele)
"Cartï¿½ï¿½o B (MC Caverinha, KayBlack)"
"Danger (Spider) (Offset & JID) (Offset, JID)"
The Real Slim Shady (Eminem)
"MERCHO (Migrantes, LiL CaKe, Nico Valdi)"
The Color Violet (Tory Lanez)
Glimpse of Us (Joji)
"Mejor Que Yo (Mambo Kingz, DJ Luian, Anuel Aa)"
Curtains (Ed Sheeran)
"UNFORGIVEN (feat. Nile Rodgers) (Nile Rodgers, LE SSERAFIM)"
Haegeum (Agust D)
"Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich  (Rich The Kid, Matuï¿)"
Never Felt So Alone (Labrinth)
"X SI VOLVEMOS (Karol G, Romeo Santos)"
ceilings (Lizzy McAlpine)
Cupid (Fifty Fifty)
I AM (IVE)
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe (sped up 8282)
"Shorty Party (Cartel De Santa, La Kelly)"
Super (SEVENTEEN)
Slut Me Out (NLE Choppa)
"Double Fantasy (with Future) (The Weeknd, Future)"
All Of The Girls You Loved Before (Taylor Swift)
PROVENZA (Karol G)
"Princess Diana (with Nicki Minaj) (Nicki Minaj, Ice Spice)"
"Di Que Si (Grupo Marca Registrada, Grupo Frontera)"
Shivers (Ed Sheeran)
"Igualito a Mi Apï¿ (Fuerza Regida, Peso Pluma)"
"Shoong! (feat. LISA of BLACKPINK) (TAEYANG, Lisa)"
Komang (Raim Laode)
DESPECHï¿ (ROSALï¿½)
Made You Look (Meghan Trainor)
"Watch This - ARIZONATEARS Pluggnb Remix (sped up nightcore, ARIZONATEARS, Lil Uzi Vert)"
Punto G (Quevedo)
Lovers Rock (TV Girl)
METAMORPHOSIS (INTERWORLD)
"Mami Chula (Quevedo, Jhayco)"
"En Paris (El Chachito, Junior H)"
"I Was Never There (The Weeknd, Gesaffelstein)"
"Don't ever say love me (feat. RM of BTS) (RM, Colde)"
"Gato de Noche (Nengo Flow, Bad Bunny)"
Call Out My Name (The Weeknd)
Like Crazy (English Version) (Jimin)
"Rosa Pastel (Jasiel Nuï¿½ï¿½ez, Peso P)"
"Sunroof (Nicky Youre, Dazy)"
Lose Yourself - Soundtrack Version (Eminem)
"Superman (Eminem, Dina Rae)"
"Mas Rica Que Ayer (Mambo Kingz, DJ Luian, Anuel Aa)"
"People Pt.2 (feat. IU) (IU, Agust D)"
REMIX EXCLUSIVO (Feid)
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol (Arcangel, Bizarrap)"
"DOGTOOTH (Tyler, The Creator)"
"10:35 (Tiï¿½ï¿½sto, Tate M)"
"SORRY NOT SORRY (Tyler, The Creator)"
HAPPY (NF)
La Bebe (Yng Lvcas)
"I Know - PR1SVX Edit (Kanii, PR1ISVX)"
Late Night Talking (Harry Styles)
Leï¿½ (Marï¿½ï¿½lia Mendo)
Something in the Orange (Zach Bryan)
VOID (Melanie Martinez)
"Dijeron Que No La Iba Lograr (Fuerza Regida, Chino Pacas)"
If We Ever Broke Up (Mae Stephens)
"LA INOCENTE (Feid, Mora)"
Malas Decisiones (Kenia OS)
Murder In My Mind (Kordhell)
"Gangsta's Paradise (Coolio, L.V.)"
"CAIRO (Karol G, Ovy On The Drums)"
I Love You So (The Walters)
Dark Red (Steve Lacy)
Say You Won't Let Go (James Arthur)
Heart To Heart (Mac DeMarco)
Peaches (from The Super Mario Bros. Movie) (Jack Black)
"Marisola - Remix (Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile)"
"LOKERA (Brray, Rauw Alejandro, Lyanno)"
"on the street (with J. Cole) (j-hope, J. Cole)"
One Thing At A Time (Morgan Wallen)
"Miss You (Robin Schulz, Oliver Tree)"
Ainï¿½ï¿½ï¿½t Tha (Morgan Wallen)
Thinkinï¿½ï¿½ï¿½ B (Morgan Wallen)
"Private Landing (feat. Justin Bieber & Future) (Don Toliver, Future, Justin Bieber)"
Everything I Love (Morgan Wallen)
Heaven (Niall Horan)
LET GO (Central Cee)
Sial (Mahalini)
I Wrote The Book (Morgan Wallen)
"Apna Bana Le (From ""Bhediya"") (Arijit Singh, Sachin-Jigar)"
SPIT IN MY FACE! (ThxSoMch)
"PLAYA DEL INGLï¿½ (Myke Towers, Quevedo)"
"Man Made A Bar (feat. Eric Church) (Morgan Wallen, Eric Church)"
Red Ruby Da Sleeze (Nicki Minaj)
Kahani Suno 2.0 (Kaifi Khalil)
Nobody Gets Me (SZA)
"PERO Tï¿ (Karol G, Quevedo)"
Hype Boy (NewJeans)
Bloody Mary (Lady Gaga)
ýýý98 Braves (Morgan Wallen)
WANDA (Quevedo)
Thought You Should Know (Morgan Wallen)
In The End (Linkin Park)
Zona De Perigo (Leo Santana)
Lovezinho (Treyce)
"I Like You (A Happier Song) (with Doja Cat) (Post Malone, Doja Cat)"
Neverita (Bad Bunny)
"Sem Alianï¿½ï¿½a no  (MC Xenon, Os Gemeos da Putaria)"
"Enemy (with JID) - from the series Arcane League of Legends (Imagine Dragons, League of Legends, JID, Arcane)"
Revenge (XXXTENTACION)
"LA CANCIï¿½ (J Balvin, Bad Bunny)"
"Quï¿½ï¿½ Ago (Yuridia, Angela Aguilar)"
Love Again (The Kid Laroi)
After Hours (The Weeknd)
About Damn Time (Lizzo)
ýýýýýýýýýýýýýýýýýýýýý (Fujii Kaze)
"Besos Moja2 (Wisin & Yandel, ROSALï¿½)"
Maan Meri Jaan (King)
Moscow Mule (Bad Bunny)
"My Universe (Coldplay, BTS)"
LLYLM (ROSALï¿½)
TRUSTFALL (P!nk)
ANTIFRAGILE (LE SSERAFIM)
Boy's a liar (PinkPantheress)
Shirt (SZA)
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By (Rihanna)
STAR WALKIN' (League of Legends Worlds Anthem) (Lil Nas X)
"Sex, Drugs, Etc. (Beach Weather)"
"Boy With Luv (feat. Halsey) (Halsey, BTS)"
"Hey, Mickey! (Baby Tate)"
Calm Down (Rï¿½ï)
"Jhoome Jo Pathaan (Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar)"
"Escapism. - Sped Up (RAYE, 070 Shake)"
"Te Felicito (Shakira, Rauw Alejandro)"
"Muï¿½ï¿½ (Steve Aoki, Tini, La Joaqui)"
TV (Billie Eilish)
I'm Not The Only One (Sam Smith)
Heather (Conan Gray)
"Besharam Rang (From ""Pathaan"") (Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani)"
"One Kiss (with Dua Lipa) (Calvin Harris, Dua Lipa)"
Sugar Rush Ride (TOMORROW X TOGETHER)
"WAIT FOR U (feat. Drake & Tems) (Drake, Future, Tems)"
Don't Start Now (Dua Lipa)
After Dark (Mr.Kitty)
"INDUSTRY BABY (feat. Jack Harlow) (Jack Harlow, Lil Nas X)"
MIDDLE OF THE NIGHT (Elley Duhï¿)
Atlantis (Seafret)
"Evoque Prata (DJ Escobar, MC MENOR SG, MC MENOR HR)"
How Do I Say Goodbye (Dean Lewis)
Blind (SZA)
Die For You (Joji)
Doja (Central Cee)
Gatita (Bellakath)
"Rumble (Skrillex, Flowdan, Fred again..)"
"Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage] (Travis Scott, 21 Savage, Metro Boomin)"
Yonaguni (Bad Bunny)
Super Freaky Girl (Nicki Minaj)
Running Up That Hill (A Deal With God) (Kate Bush)
Dream On (Aerosmith)
Limbo (Freddie Dredd)
"Where Are You Now (Lost Frequencies, Calum Scott)"
"WORTH NOTHING (Twisted, Oliver Tree)"
Bad Habits (Ed Sheeran)
KICK BACK (Kenshi Yonezu)
Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A (Omar Apollo)
"Levitating (feat. DaBaby) (Dua Lipa, DaBaby)"
Woman (Doja Cat)
Shut up My Moms Calling - (Sped Up) (Hotel Ugly)
"Ferrari (James Hype, Miggy Dela Rosa)"
"You're On Your Own, Kid (Taylor Swift)"
"Agudo Mï¿½ï¿½gi (Styrx, utku INC, Thezth)"
"Payphone (Maroon 5, Wiz Khalifa)"
All I Want for Christmas Is You (Mariah Carey)
Last Christmas (Wham!)
Rockin' Around The Christmas Tree (Brenda Lee)
Jingle Bell Rock (Bobby Helms)
It's Beginning To Look A Lot Like Christmas (Michael Bublï¿)
Santa Tell Me (Ariana Grande)
It's the Most Wonderful Time of the Year (Andy Williams)
Let It Snow! Let It Snow! Let It Snow! (Dean Martin)
Snowman (Sia)
Underneath the Tree (Kelly Clarkson)
Feliz Navidad (Josï¿½ï¿½ Felic)
Holly Jolly Christmas (Michael Bublï¿)
Mistletoe (Justin Bieber)
Sleigh Ride (The Ronettes)
Seek & Destroy (SZA)
Love Language (SZA)
"Used (feat. Don Toliver) (SZA, Don Toliver)"
The Christmas Song (Merry Christmas To You) - Remastered 1999 (Nat King Cole)
Wonderful Christmastime - Edited Version / Remastered 2011 (Paul McCartney)
"Ghost in the Machine (feat. Phoebe Bridgers) (SZA, Phoebe Bridgers)"
Merry Christmas Everyone (Shakin' Stevens)
"Let It Snow! Let It Snow! Let It Snow! (Frank Sinatra, B. Swanson Quartet)"
SOS (SZA)
"Open Arms (feat. Travis Scott) (SZA, Travis Scott)"
"White Christmas (Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers)"
Driving Home for Christmas - 2019 Remaster (Chris Rea)
Christmas (Baby Please Come Home) (Darlene Love)
Gone Girl (SZA)
F2F (SZA)
Notice Me (SZA)
"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra) (Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra)"
"Antidepresan (Mabel Matiz, Mert Demir)"
Wild Flower (with youjeen) (RM)
I Hate U (SZA)
"Raindrops (Insane) [with Travis Scott] (Travis Scott, Metro Boomin)"
SPIT IN MY FACE! (ThxSoMch)
Deck The Hall - Remastered 1999 (Nat King Cole)
Smoking on my Ex Pack (SZA)
Conceited (SZA)
"Snow On The Beach (feat. Lana Del Rey) (Taylor Swift, Lana Del Rey)"
Maroon (Taylor Swift)
"Tubarï¿½ï¿½o Te (Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M)"
Bejeweled (Taylor Swift)
"You Make It Feel Like Christmas (feat. Blake Shelton) (Gwen Stefani, Blake Shelton)"
"Desesperados (Chencho Corleone, Rauw Alejandro)"
Too Late (SZA)
"Party (Bad Bunny, Rauw Alejandro)"
Run Rudolph Run - Single Version (Chuck Berry)
Jingle Bells - Remastered 1999 (Frank Sinatra)
Far (SZA)
"On Time (with John Legend) (John Legend, Metro Boomin)"
"GATï¿½ï¿½ (Maldy, Karol G)"
ýýýabcdefu (Gayle)
Sacrifice (The Weeknd)
Is There Someone Else? (The Weeknd)
"Fingers Crossed (Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith)"
"Do It To It (Cherish, ACRAZE)"
Pepas (Farruko)
How Do I Make You Love Me? (The Weeknd)
Gasoline (The Weeknd)
Infinity (Jaymes Young)
Take My Breath (The Weeknd)
good 4 u (Olivia Rodrigo)
Best Friends (The Weeknd)
"Kiss Me More (feat. SZA) (SZA, Doja Cat)"
"I Heard You're Married (feat. Lil Wayne) (The Weeknd, Lil Wayne)"
Need To Know (Doja Cat)
MONTERO (Call Me By Your Name) (Lil Nas X)
love nwantiti (ah ah ah) (Ckay)
Dawn FM (The Weeknd)
Surface Pressure (Jessica Darrow)
Starry Eyes (The Weeknd)
THATS WHAT I WANT (Lil Nas X)
"One Right Now (with The Weeknd) (The Weeknd, Post Malone)"
Beggin (Mï¿½ï¿½ne)
"Mon Amour - Remix (Aitana, zzoilo)"
"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas) (Julieta Venegas, Bad Bunny, Tainy)"
MONEY (Lisa)
"The Motto (Tiï¿½ï¿½sto, Ava)"
"traitor (Juan Cruz Toledo, Huilen Toledo)"
Toxic (BoyWithUke)
drivers license (Olivia Rodrigo)
"Malvadï¿½ï¿ (Xamï¿½ï¿½, Gustah, Neo B)"
Donï¿½ï¿½ï¿½t Break My (The Weeknd)
Oh My God (Adele)
"Entre Nosotros (Remix) [con Nicki Nicole] (Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE)"
A Tale By Quincy (The Weeknd)
I AM WOMAN (Emmy Meli)
It'll Be Okay (Shawn Mendes)
Softcore (The Neighbourhood)
Super Gremlin (Kodak Black)
"Volvï¿ (Aventura, Bad Bunny)"
Todo De Ti (Rauw Alejandro)
"Love Nwantiti - Remix (Ckay, AX'EL, Dj Yo!)"
"Smokin Out The Window (Bruno Mars, Anderson .Paak, Silk Sonic)"
"Meet Me At Our Spot (THE ANXIETY, Willow, Tyler Cole)"
Tacones Rojos (Sebastian Yatra)
"Dakiti (Bad Bunny, Jhay Cortez)"
"Tiago PZK: Bzrp Music Sessions, Vol. 48 (Bizarrap, Tiago pzk)"
Lï¿½ï¿½ï¿ (Stromae)
"Nostï¿½ï¿½l (Chris Brown, Rvssian, Rauw Alejandro)"
"Sad Girlz Luv Money Remix (feat. Kali Uchis) (Kali Uchis, Amaarae, Moliy)"
Butter (BTS)
"pushin P (feat. Young Thug) (Young Thug, Future, Gunna)"
"You Right (Doja Cat, The Weeknd)"
deja vu (Olivia Rodrigo)
Dynamite (BTS)
TO THE MOON (Jnr Choi)
"Lost in the Fire (The Weeknd, Gesaffelstein)"
"Salimo de Noche (Trueno, Tiago pzk)"
"Volando - Remix (Sech, Bad Bunny, Mora)"
"Leave The Door Open (Bruno Mars, Anderson .Paak, Silk Sonic)"
"Knife Talk (with 21 Savage ft. Project Pat) (Drake, Project Pat, 21 Savage)"
"Don't Be Shy (Tiï¿½ï¿½sto, Kar)"
Love Grows (Where My Rosemary Goes) (Edison Lighthouse)
"The Family Madrigal (Olga Merediz, Stephanie Beatriz, Encanto - Cast)"
Phantom Regret by Jim (The Weeknd)
Freaks (Surf Curse)
Acapulco (Jason Derulo)
Daddy Issues (The Neighbourhood)
"thought i was playing (21 Savage, Gunna)"
ELEVEN (IVE)
"Mood (feat. Iann Dior) (24kgoldn, Iann Dior)"
"What Else Can I Do? (Stephanie Beatriz, Diane Guerrero)"
Miserable Man (David Kushner)
happier (Olivia Rodrigo)
Praise God (Kanye West)
Get Into It (Yuh) (Doja Cat)
Before You Go (Lewis Capaldi)
Sky (Playboi Carti)
Rolling in the Deep (Adele)
Sobrio (Maluma)
"Peru (Ed Sheeran, Fireboy DML)"
favorite crime (Olivia Rodrigo)
"Thunder (Prezioso, Gabry Ponte, LUM!X)"
The Business (Tiï¿½ï¿)
I WANNA BE YOUR SLAVE (Mï¿½ï¿½ne)
The Feels (TWICE)
"No Lie (Sean Paul, Dua Lipa)"
"OUT OUT (feat. Charli XCX & Saweetie) (Charli XCX, Jax Jones, Joel Corry, Saweetie)"
Pope Is a Rockstar (SALES)
2055 (Sleepy hallow)
Bored (Billie Eilish)
Astronaut In The Ocean (Masked Wolf)
"Ley Seca (Anuel Aa, Jhay Cortez)"
Every Summertime (NIKI)
Talking To The Moon (Bruno Mars)
you broke me first (Tate McRae)
The Nights (Avicii)
Take My Breath (The Weeknd)
"Way 2 Sexy (with Future & Young Thug) (Drake, Future, Young Thug)"
Cï¿½ï¿½ (Rauw Alejandro)
"Enemy - from the series Arcane League of Legends (Imagine Dragons, League of Legends, Arcane)"
Dance Monkey (Tones and I)
Lucid Dreams (Juice WRLD)
"Quï¿½ï¿½ Mï¿½ï¿ (J Balvin, Maria Becerra)"
All of Me (John Legend)
Smells Like Teen Spirit - Remastered 2021 (Nirvana)
Arcade (Duncan Laurence)
"Fair Trade (with Travis Scott) (Drake, Travis Scott)"
"Bar (Tini, L-Gante)"
The Rumbling (TV Size) (SiM)
"family ties (with Kendrick Lamar) (Kendrick Lamar, Baby Keem)"
Mr. Brightside (The Killers)
"AM Remix (J Balvin, Nio Garcia, Bad Bunny)"
Streets (Doja Cat)
"Shallow (Lady Gaga, Bradley Cooper)"
Polaroid Love (ENHYPEN)
"Leave Before You Love Me (with Jonas Brothers) (Marshmello, Jonas Brothers)"
Permission to Dance (BTS)
"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit (Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine)"
RAPSTAR (Polo G)
"'Till I Collapse (Eminem, Nate Dogg)"
Memories (Maroon 5)
"Se Le Ve (Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music)"
"25k jacket (feat. Lil Baby) (Gunna, Lil Baby)"
"Esqueï¿½ï¿½a-Me Se For C (Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &)"
"Miï¿½ï¿½n (Tini, Maria Becerra)"
"Sï¿½ï¿½ (Anuel Aa, Myke Towers, Jhay Cortez)"
"MAMIII (Karol G, Becky G)"
"Still D.R.E. (Dr. Dre, Snoop Dogg)"
Stay Alive (Prod. SUGA of BTS) (Jung Kook)
Boyfriend (Dove Cameron)
"The Next Episode (Dr. Dre, Snoop Dogg)"
